"DistinguishedName","ObjectGuid","ObjectSid","AdminCount","PrimaryGroupID","MemberOf","objectClass","SamAccountName","SDHash","Owner","DaclProtected","SaclProtected","ExactSDMatch","ImplicitSDMatch","ACECount","ImplicitACECount","Created","Modified"
"CN=Backup Operators,CN=Builtin,DC=AD2025,DC=lan","d5db09e2-b2cf-4bc5-ad8f-6d583afb6b71","S-1-5-32-551","1","0","","group","Backup Operators","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:39:56 PM","5/12/2025 11:27:22 AM"
"CN=Replicator,CN=Builtin,DC=AD2025,DC=lan","d4052bb5-c5b2-4181-82dd-fe555f6fbe1e","S-1-5-32-552","1","0","","group","Replicator","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:39:56 PM","5/12/2025 11:27:24 AM"
"CN=Remote Desktop Users,CN=Builtin,DC=AD2025,DC=lan","ccf5b09d-626a-4dbe-abaa-d941e2feaab4","S-1-5-32-555","0","0","","group","Remote Desktop Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:39 AM"
"CN=Network Configuration Operators,CN=Builtin,DC=AD2025,DC=lan","d2144496-55ed-44f8-a20d-7a6a5e6234ca","S-1-5-32-556","0","0","","group","Network Configuration Operators","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:29 AM"
"CN=Performance Monitor Users,CN=Builtin,DC=AD2025,DC=lan","41633310-ad08-4799-ad42-230e77fcdb05","S-1-5-32-558","0","0","","group","Performance Monitor Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:37 AM"
"CN=Performance Log Users,CN=Builtin,DC=AD2025,DC=lan","04377d69-c124-49f7-a79c-fd7ede41345f","S-1-5-32-559","0","0","","group","Performance Log Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:34 AM"
"CN=Distributed COM Users,CN=Builtin,DC=AD2025,DC=lan","bd62d1cc-b65c-4356-b567-99e3475396ac","S-1-5-32-562","0","0","","group","Distributed COM Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:40 AM"
"CN=IIS_IUSRS,CN=Builtin,DC=AD2025,DC=lan","4e5c3eae-e1cf-451d-a0e9-cba98b1ba9c1","S-1-5-32-568","0","0","","group","IIS_IUSRS","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","4/14/2025 1:39:56 PM"
"CN=Cryptographic Operators,CN=Builtin,DC=AD2025,DC=lan","64eb8561-4f6a-4d39-9171-e57376a9fac0","S-1-5-32-569","0","0","","group","Cryptographic Operators","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:41 AM"
"CN=Event Log Readers,CN=Builtin,DC=AD2025,DC=lan","81f32bfe-cc3a-48c2-a4b6-d067cafb4810","S-1-5-32-573","0","0","","group","Event Log Readers","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:42 AM"
